,open,high,low,close,volume,day,time
13,226.37,226.38,226.37,226.38,3298,2016-12-28,09:30:00
14,226.39,226.44,226.39,226.44,2802,2016-12-28,10:00:00
15,226.42,226.44,226.41,226.44,5200,2016-12-28,10:30:00
16,226.43,226.45,226.38,226.38,3202,2016-12-28,11:00:00
17,226.38,226.41,226.38,226.41,1100,2016-12-28,11:30:00
18,226.44,226.45,226.37,226.4,38948,2016-12-28,12:00:00
19,226.39,226.45,226.38,226.45,137500,2016-12-28,12:30:00
20,226.45,226.57,226.43,226.5,229205,2016-12-28,13:00:00
21,226.52,226.55,226.43,226.55,151413,2016-12-28,13:30:00
22,226.56,226.63,226.53,226.57,162468,2016-12-28,14:00:00
23,226.57,226.59,225.5,225.53,5650921,2016-12-28,14:30:00
24,225.52,225.58,225.32,225.5063,4569027,2016-12-28,15:00:00
25,225.51,225.59,225.35,225.45,4723501,2016-12-28,15:30:00
26,225.44,225.72,225.43,225.68,4011877,2016-12-28,16:00:00
40,224.94,224.94,224.94,224.94,300,2016-12-30,09:30:00
41,224.94,224.94,224.84,224.84,10752,2016-12-30,10:00:00
42,224.84,224.97,224.84,224.97,35311,2016-12-30,10:30:00
43,224.87,224.91,224.76,224.91,37520,2016-12-30,11:00:00
44,224.91,224.92,224.81,224.92,13461,2016-12-30,11:30:00
45,224.87,224.87,224.71,224.83,40058,2016-12-30,12:00:00
46,224.83,225.05,224.83,225.01,158274,2016-12-30,12:30:00
47,224.99,225.02,224.71,224.95,128609,2016-12-30,13:00:00
48,224.95,225.04,224.87,224.91,105587,2016-12-30,13:30:00
49,224.85,224.91,224.7,224.73,320041,2016-12-30,14:00:00
50,224.73,224.83,223.735,223.79,7753578,2016-12-30,14:30:00
51,223.77,224.0145,223.58,223.62,4203815,2016-12-30,15:00:00
52,223.61,223.91,223.6,223.9,3984099,2016-12-30,15:30:00
53,223.89,224.06,223.735,223.9527,2864560,2016-12-30,16:00:00
54,224.72,224.87,224.7,224.86,8617,2017-01-03,09:30:00
55,224.87,224.97,224.84,224.89,42664,2017-01-03,10:00:00
56,224.85,224.93,224.84,224.93,26322,2017-01-03,10:30:00
57,224.96,225.24,224.94,225.23,42857,2017-01-03,11:00:00
58,225.22,225.34,225.21,225.26,29060,2017-01-03,11:30:00
59,225.23,225.38,225.19,225.23,303869,2017-01-03,12:00:00
60,225.21,225.24,225.08,225.16,151628,2017-01-03,12:30:00
61,225.21,225.32,225.0,225.03,222740,2017-01-03,13:00:00
62,225.03,225.03,223.53,225.0,308191,2017-01-03,13:30:00
63,225.01,225.07,224.93,225.03,572480,2017-01-03,14:00:00
64,225.04,225.265,224.71,225.0,11067776,2017-01-03,14:30:00
65,225.0,225.83,224.91,225.51,9400871,2017-01-03,15:00:00
66,225.51,225.64,224.6,224.66,9165093,2017-01-03,15:30:00
67,224.66,224.76,224.34,224.44,4605130,2017-01-03,16:00:00
68,225.5,225.59,225.5,225.59,4107,2017-01-04,09:30:00
69,225.64,225.65,225.58,225.62,4037,2017-01-04,10:00:00
70,225.62,225.67,225.61,225.61,2303,2017-01-04,10:30:00
71,225.4,225.6,225.4,225.6,2464,2017-01-04,11:00:00
72,225.59,225.59,225.57,225.59,35901,2017-01-04,11:30:00
73,225.55,225.59,225.54,225.59,95446,2017-01-04,12:00:00
74,225.59,225.67,225.58,225.67,50448,2017-01-04,12:30:00
75,225.65,225.79,225.56,225.77,397775,2017-01-04,13:00:00
76,225.73,225.77,225.65,225.67,171957,2017-01-04,13:30:00
77,225.65,225.66,225.56,225.62,593367,2017-01-04,14:00:00
78,225.62,226.35,225.61,226.01,8303452,2017-01-04,14:30:00
79,226.03,226.24,225.76,225.77,4651092,2017-01-04,15:00:00
80,225.7803,226.14,225.76,226.09,3414783,2017-01-04,15:30:00
81,226.09,226.25,226.06,226.21,5029790,2017-01-04,16:00:00
82,226.38,226.44,226.35,226.44,10203,2017-01-05,09:30:00
83,226.42,226.46,226.23,226.25,9803,2017-01-05,10:00:00
84,226.23,226.42,226.15,226.42,8716,2017-01-05,10:30:00
85,226.4,226.4,226.3,226.3,12547,2017-01-05,11:00:00
86,226.31,226.39,226.29,226.35,21821,2017-01-05,11:30:00
87,226.36,226.37,226.02,226.05,79537,2017-01-05,12:00:00
88,226.04,226.08,225.98,226.02,47001,2017-01-05,12:30:00
89,226.03,226.37,226.01,226.15,240207,2017-01-05,13:00:00
90,226.16,226.35,226.14,226.25,149897,2017-01-05,13:30:00
91,226.27,226.5238,226.15,226.26,436515,2017-01-05,14:00:00
92,226.27,226.55,226.11,226.36,5000236,2017-01-05,14:30:00
93,226.36,226.58,226.31,226.52,5551235,2017-01-05,15:00:00
94,226.51,226.54,226.18,226.34,4982424,2017-01-05,15:30:00
95,226.34,226.37,225.74,225.92,7140670,2017-01-05,16:00:00
96,226.35,226.35,226.27,226.27,3102,2017-01-06,09:30:00
97,226.3,226.43,226.3,226.43,4704,2017-01-06,10:00:00
98,226.4,226.4,226.35,226.4,9927,2017-01-06,10:30:00
99,226.4,226.4,226.4,226.4,1000,2017-01-06,11:00:00
100,226.38,226.43,226.38,226.43,1003,2017-01-06,11:30:00
101,226.47,226.48,226.4,226.4,5607,2017-01-06,12:00:00
102,226.37,226.37,226.23,226.28,108406,2017-01-06,12:30:00
103,226.33,226.44,226.23,226.34,267495,2017-01-06,13:00:00
104,226.42,226.72,226.25,226.7,558421,2017-01-06,13:30:00
105,226.71,226.72,226.52,226.52,179295,2017-01-06,14:00:00
106,226.53,226.665,225.9,226.43,5720385,2017-01-06,14:30:00
107,226.42,226.6644,226.34,226.5,4003694,2017-01-06,15:00:00
108,226.5,226.725,226.17,226.59,3615270,2017-01-06,15:30:00
109,226.58,227.01,226.53,226.97,3981733,2017-01-06,16:00:00
110,227.17,227.23,227.12,227.18,5414,2017-01-09,09:30:00
111,227.21,227.21,227.11,227.11,1752,2017-01-09,10:00:00
112,227.11,227.11,227.04,227.08,4400,2017-01-09,10:30:00
113,227.08,227.08,226.93,226.93,8022,2017-01-09,11:00:00
114,226.92,226.98,226.83,226.96,21163,2017-01-09,11:30:00
115,226.95,227.05,226.9,226.95,31531,2017-01-09,12:00:00
116,227.03,227.06,227.0,227.06,16140,2017-01-09,12:30:00
117,226.91,227.11,226.91,227.0,127924,2017-01-09,13:00:00
118,227.0,227.08,226.84,226.92,151829,2017-01-09,13:30:00
119,226.91,226.92,226.79,226.89,150644,2017-01-09,14:00:00
120,226.91,226.93,226.4163,226.68,5695376,2017-01-09,14:30:00
121,226.68,226.77,226.47,226.725,4074081,2017-01-09,15:00:00
122,226.72,227.02,226.65,226.98,4204774,2017-01-09,15:30:00
123,226.979,227.0701,226.85,226.98,2468152,2017-01-09,16:00:00
136,226.3,226.52,226.27,226.52,18902,2017-01-11,09:30:00
137,226.51,226.51,226.46,226.46,2304,2017-01-11,10:00:00
138,226.49,226.49,226.42,226.48,3103,2017-01-11,10:30:00
139,226.46,226.48,226.41,226.41,5033,2017-01-11,11:00:00
140,226.44,226.53,226.36,226.53,11814,2017-01-11,11:30:00
141,226.48,226.51,226.33,226.35,23818,2017-01-11,12:00:00
142,226.3,226.3,226.15,226.15,53534,2017-01-11,12:30:00
143,226.48,226.48,226.12,226.17,82997,2017-01-11,13:00:00
